Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Neversink Reservoir"
Cubic Meter
"Sources and Destinations","Decrease in Storage for Neversink Reservoir","Increase in Storage for Neversink Reservoir","Inflow from Upstream","Net Evaporation","Outflow to Downstream"
5/23/2002, ,-111570,285325,-32701.1,-141054
5/24/2002, ,-111570,239390,-45753.7,-82066.1
5/25/2002, ,-111570,199127,-52671.7,-34885
5/26/2002, ,-111570,207797,-44812.6,-51414.2
5/27/2002, ,-111570,240462,-27524.2,-101368
5/28/2002, ,-111570,757981,-6672.91,-639738
5/29/2002, ,-111570,325410,184143,-397983
5/30/2002, ,-111570,486659,-46915.5,-328173
5/31/2002, ,-111570,998624,-20590.8,-866463
6/1/2002, ,0,579647,57309.7,-636957
6/2/2002,221311, ,494560,-56983.9,-658888
6/3/2002,221311, ,413360,-48733.7,-585938
6/4/2002,221311, ,337125,-44429.1,-514007
6/5/2002,221311, ,1629052,-45823.1,-1804540
6/6/2002,221311, ,3825520,226570,-4273400
6/7/2002,221311, ,2082465,295237,-2599010
6/8/2002,221311, ,1117800,-4454.25,-1334660
6/9/2002,221311, ,712017,-52142.6,-881186
6/10/2002,221311, ,491390,-61410.2,-651291
6/11/2002,221311, ,362626,-58964.1,-524973
6/12/2002,221311, ,560635,-67417.6,-714529
6/13/2002,221311, ,368682,19040.9,-609034
6/14/2002,221311, ,993831,-57246.5,-1157900
6/15/2002,221311, ,1075165,160572,-1457050
6/16/2002,221311, ,764967,59586.8,-1045870
6/17/2002,221311, ,566896,-26676.5,-761531
6/18/2002,221311, ,665771,-45925,-841158
6/19/2002,221311, ,473784,4936,-700032
6/20/2002,221311, ,354538,-56804.4,-519045
6/21/2002,221311, ,278973,-63832.2,-436452
6/22/2002,221311, ,312056,-67817.1,-465550
6/23/2002,221311, ,376988,-30916.1,-567383
6/24/2002,221311, ,239955,-15224.6,-446042
6/25/2002,416222, ,205116,-67341.2,-553997
6/26/2002,150980, ,360278,-58383.9,-452874
6/27/2002,96732.3, ,424709,24084.5,-545526
6/28/2002,221311, ,259018,-3699.13,-476631
6/29/2002,221311, ,223615,-64199.8,-380727
6/30/2002,233161, ,190213,-64122.8,-359251
7/1/2002,466444, ,161362,-66309.5,-561496
7/2/2002,374509, ,141371,-70505.7,-445375
7/3/2002,514842, ,127623,-77340.5,-565125
7/4/2002,319965, ,118477,-79190.4,-359251
7/5/2002,412357, ,109293,-72404.3,-449245
7/6/2002,394197, ,104309,-60630.6,-437875
7/7/2002,411705, ,100647,-59477.2,-452874
7/8/2002,537339, ,97690.5,-62404.6,-572625
7/9/2002,616972, ,122782,-66006.8,-673747
7/10/2002,92652.4, ,95512.1,-8417.92,-179747
7/11/2002,436439, ,92170.9,-53237.2,-475373
7/12/2002,739100, ,89881.8,-50483.2,-778499
7/13/2002,452892, ,87711.5,-54102.6,-486501
7/14/2002,162643, ,85650.5,-61047.5,-187246
7/15/2002,521635, ,83695.2,-62703.8,-542627
7/16/2002,580811, ,81843.5,-67531.4,-595123
7/17/2002,833130, ,80017.8,-59654.5,-853494
7/18/2002,586796, ,78516.6,-66318.6,-598994
7/19/2002,416873, ,452652,-72156.5,-797368
7/20/2002,113176, ,108226,134220,-355622
7/21/2002,149480, ,121338,-64944.7,-205874
7/22/2002,845781, ,125025,-65057.8,-905748
7/23/2002,392229, ,648951,-71806.6,-969373
7/24/2002, ,-413112,310222,102890,0
7/25/2002, ,-193135,293562,-59300.4,-41126.4
7/26/2002, ,-116089,273933,-56722.1,-101123
7/27/2002, ,-177763,225503,-47739.5,0
7/28/2002, ,-118319,167179,-48860,0
7/29/2002,194643, ,127533,-63805.9,-258371
7/30/2002,328376, ,104966,-74090.3,-359251
7/31/2002,333774, ,86055.7,-68078.3,-351752
8/1/2002,529150, ,78909.1,-65432.6,-542627
8/2/2002,40504.2, ,157161,-66544.4,-131121
8/3/2002, ,-90939.8,87327.5,3612.3,0
8/4/2002,347512, ,78692.2,-66952.5,-359251
8/5/2002,725838, ,235319,-66537,-894620
8/6/2002, ,-142336,104978,37357.4,0
8/7/2002,313802, ,101033,-51713.5,-363122
8/8/2002,503754, ,96176.6,-49805,-550126
8/9/2002,589648, ,90323.4,-51221,-628750
8/10/2002,332335, ,80256.8,-53340.9,-359251
8/11/2002,345314, ,72788.7,-58851.8,-359251
8/12/2002,722156, ,67234.1,-63145.9,-726244
8/13/2002,771235, ,61481.9,-65346.7,-767370
8/14/2002,663697, ,73533.3,-67112.3,-670118
8/15/2002,629084, ,61943.3,-35907.7,-655119
8/16/2002,651493, ,94954.3,-61571.8,-684876
8/17/2002,184969, ,64858.4,-21455,-228372
8/18/2002,310912, ,57476.3,-61391.7,-306996
8/19/2002,612931, ,133816,-65500.6,-681247
8/20/2002,409104, ,230119,23395.8,-662619
8/21/2002,650971, ,99273,24626.2,-774870
8/22/2002,459040, ,141000,-53543,-546497
8/23/2002,468040, ,124290,-30833.8,-561496
8/24/2002, ,-124658,526124,-45844,-355622
8/25/2002,17606.6, ,249580,88435.5,-355622
8/26/2002,257494, ,226571,-53689.1,-430376
8/27/2002,280927, ,184777,-53956.6,-411748
8/28/2002,322056, ,167422,-55231.3,-434246
8/29/2002, ,-2593740,2632729,-38988.8,0
8/30/2002, ,-1466560,1077166,389397,0
8/31/2002, ,-784345,830098,-45753,0
9/1/2002, ,-512879,559592,-46713,0
9/2/2002, ,-378585,419964,-41378.8,0
9/3/2002, ,-520970,563089,-42118.8,0
9/4/2002, ,-140194,852692,2182.63,-714681
9/5/2002,221311, ,541136,61085.2,-823533
9/6/2002,221311, ,311966,-43842.7,-489434
9/7/2002,221311, ,209052,-43209.8,-387153
9/8/2002,589177, ,155015,-47946.6,-696246
9/9/2002,536964, ,122952,-49793.8,-610122
9/10/2002,460820, ,102465,-54285.3,-509000
9/11/2002,158902, ,87632.1,-55658.8,-190875
9/12/2002,166312, ,76923.4,-40990.1,-202245
9/13/2002,174817, ,70492.8,-35807.1,-209503
9/14/2002,369795, ,66054.2,-42729,-393120
9/15/2002, ,-686295,1631646,-48130,-897221
9/16/2002,221311, ,950687,394008,-1566010
9/17/2002,221311, ,655859,28122,-905292
9/18/2002,221311, ,631438,-34229.4,-818520
9/19/2002,221311, ,560710,-42331.2,-739690
9/20/2002,221311, ,460602,-43483.6,-638430
9/21/2002,221311, ,431850,-46699.3,-606462
9/22/2002,221311, ,1196374,-37214.2,-1380470
9/23/2002,221311, ,761165,90531.6,-1073010
9/24/2002,221311, ,445012,-29745.8,-636578
9/25/2002,221311, ,296515,-36439.7,-481386
9/26/2002,221311, ,769727,-36445.8,-954593
9/27/2002,221311, ,5793940,111479,-6126730
9/28/2002,221311, ,2163413,521975,-2906700
9/29/2002,221311, ,1462572,-34742,-1649140
9/30/2002,221311, ,910510,-32346.7,-1099470
10/1/2002,221311, ,619549,-35807.3,-805053
10/2/2002,66810.8, ,588486,-41545.8,-613751
10/3/2002, ,-168015,450830,-16944.8,-265870
10/4/2002, ,-233506,673813,-33102.4,-407204
10/5/2002, ,-111570,541483,49986.3,-479899
10/6/2002, ,-56291.3,343984,-3580.91,-284111
10/7/2002,146521, ,278233,-28005,-396749
10/8/2002,72874.2, ,233327,-29203.1,-276998
10/9/2002,170122, ,209065,-23564.4,-355622
10/10/2002,316429, ,316321,-26256.4,-606493
10/11/2002, ,-1319080,5795230,35167.1,-4511320
10/12/2002, ,-111570,4705483,602712,-5196620
10/13/2002, ,-111570,2898015,109245,-2895690
10/14/2002, ,-111570,1722040,20908.9,-1631380
10/15/2002, ,-111570,1163505,-20262.3,-1031670
10/16/2002, ,-111570,5549380,-20226.8,-5417580
10/17/2002, ,-111570,2995194,404096,-3287720
10/18/2002, ,-111570,1576609,-8886.69,-1456150
10/19/2002, ,-111570,952861,-17812.7,-823478
10/20/2002, ,-111570,627439,-2763.16,-513106
10/21/2002, ,-111570,457750,-15542.8,-330637
10/22/2002, ,-111570,372503,-17677.6,-243255
10/23/2002, ,-111570,334992,-19783.2,-203639
10/24/2002, ,-111570,273898,-11563.3,-150764
10/25/2002, ,-111570,374364,-8231.25,-254563
10/26/2002, ,-111570,910658,57359.3,-856447
10/27/2002, ,-111570,602971,140806,-632207
10/28/2002, ,-111570,536159,-14730.2,-409859
10/29/2002, ,-111570,519661,-16723.5,-391367
10/30/2002, ,-111570,490685,-15316.2,-363799
10/31/2002, ,-111570,453743,-14325.8,-327847
11/1/2002, ,-111570,430215,-14645.7,-303999
11/2/2002, ,-111570,376977,-9363.74,-256043
11/3/2002, ,-111570,324888,-9648.3,-203670
11/4/2002, ,-111570,307334,-5089.98,-190673
11/5/2002, ,-111570,372005,-3092.9,-257342
11/6/2002, ,-111570,920296,25120.6,-833846
11/7/2002, ,-111570,408499,103758,-400687
11/8/2002, ,-12249.7,486112,-9617.83,-464244
11/9/2002,42830.7, ,599101,5688.57,-647620
11/10/2002,209094, ,516463,-21812.2,-703745
11/11/2002,22629.9, ,557765,-15269.8,-565125
11/12/2002, ,-820157,2059073,-3358.84,-1235560
11/13/2002, ,-111570,812458,164608,-865496
11/14/2002, ,-111570,618469,-9618.83,-497280
11/15/2002, ,-111570,537163,-12772.4,-412820
11/16/2002, ,-111570,1156538,-13469,-1031500
11/17/2002, ,-111570,901820,93310.6,-883560
11/18/2002, ,-111570,590345,71090.6,-549865
11/19/2002,120604, ,522063,-6417.3,-636250
11/20/2002, ,-96389.7,415347,-4461.26,-314496
11/21/2002,313026, ,516526,-13555.9,-815996
11/22/2002, ,-673306,1325146,25536,-677376
11/23/2002, ,-221785,1217592,138168,-1133970
11/24/2002, ,-111570,1322174,43813.9,-1254420
11/25/2002, ,-111570,1324650,53520.7,-1266600
11/26/2002, ,-111570,1114050,49625.5,-1052110
11/27/2002, ,-111570,818892,20946,-728268
11/28/2002, ,-111570,665615,-8708.31,-545336
11/29/2002, ,-111570,540577,-6471.44,-422535
11/30/2002, ,-111570,422338,-8435.41,-302332
12/1/2002, ,-111570,338391,-10478.7,-216342
12/2/2002, ,-111570,282356,-7779.47,-163006
12/3/2002,218226, ,242462,-7813.82,-452874
12/4/2002,392357, ,215592,-5326.45,-602623
12/5/2002,313986, ,197106,-5720.89,-505371
12/6/2002,422380, ,183570,-6956.18,-598994
12/7/2002,395245, ,173250,-6998.56,-561496
12/8/2002,298724, ,164883,-6861.93,-456745
12/9/2002,411090, ,157907,-7500.96,-561496
12/10/2002,414334, ,151844,-4681.1,-561496
12/11/2002,441995, ,149302,-7301.25,-583995
12/12/2002,528026, ,157194,-7843.87,-677376
12/13/2002,379136, ,235026,-410.915,-613751
12/14/2002,192734, ,364836,18925.1,-576495
12/15/2002,358171, ,154424,45031.2,-557626
12/16/2002,385502, ,156391,-10394.9,-531498
12/17/2002,511875, ,151275,-8030.89,-655119
12/18/2002,538055, ,149498,-6306.52,-681247
12/19/2002,434832, ,149108,-7444.91,-576495
12/20/2002, ,-782443,1241543,-9854.98,-449245
12/21/2002, ,-128885,316894,145115,-333124
12/22/2002, ,-41724,312370,-8646.58,-261999
12/23/2002,88972.9, ,307542,-10894.7,-385620
12/24/2002, ,-4058.8,297803,-9246.28,-284498
12/25/2002, ,-274040,282743,-8702.46,0
12/26/2002, ,-258237,266558,-8320.17,0
12/27/2002, ,-241825,250159,-8333.64,0
12/28/2002, ,-204854,212081,-7227.67,0
12/29/2002, ,-177090,184585,-7495.39,0
12/30/2002, ,-157217,165410,-8192.66,0
12/31/2002, ,-232250,239676,-7425.98,0
1/1/2003, ,-1030440,1014331,16113.5,0
1/2/2003, ,-398312,241226,157086,0
1/3/2003, ,-229920,237334,-7413.53,0
1/4/2003, ,-225129,232503,-7373.52,0
1/5/2003, ,-218452,226473,-8021.15,0
1/6/2003, ,-212255,219375,-7119.62,0
1/7/2003, ,-203512,211451,-7938.74,0
1/8/2003, ,-194490,200953,-6463.5,0
1/9/2003, ,-186682,194779,-8097.29,0
1/10/2003, ,-156542,161050,-4507.91,0
1/11/2003, ,-137623,146029,-8405.75,0
1/12/2003, ,-128508,134580,-6072.1,0
1/13/2003, ,-118852,125255,-6402.69,0
1/14/2003, ,-111397,117696,-6299.54,0
1/15/2003, ,-106307,111452,-5144.13,0
1/16/2003, ,-100581,106169,-5588.32,0
1/17/2003, ,-95833,101584,-5751.52,0
1/18/2003, ,-92975.9,97673,-4697.14,0
1/19/2003, ,-90092.4,94187.4,-4095.02,0
1/20/2003, ,-85885.8,91002.3,-5116.54,0
1/21/2003, ,-82999.7,88124.2,-5124.47,0
1/22/2003, ,-81289.4,85526.8,-4237.4,0
1/23/2003, ,-79646.5,83149.8,-3503.34,0
1/24/2003,379275, ,80915.9,-3446.15,-456745
1/25/2003,438528, ,78758.5,-4416.14,-512870
1/26/2003,426909, ,76641.5,-5679.62,-497871
1/27/2003,501593, ,74662.7,-7260.01,-568996
1/28/2003,758419, ,72859.8,-4154.73,-827124
1/29/2003,648165, ,71085,-4376.62,-714874
1/30/2003,682830, ,69326.6,-7285.22,-744872
1/31/2003,598033, ,67612.2,-6896.73,-658748
2/1/2003,380263, ,137338,-8601.39,-509000
2/2/2003,289793, ,215460,11246.1,-516499
2/3/2003,260766, ,313215,47269.3,-621251
2/4/2003, ,-188138,813799,89212.2,-714874
2/5/2003,580499, ,176413,160207,-917119
2/6/2003,826177, ,156022,-8954.5,-973244
2/7/2003,474245, ,169021,-7015.81,-636250
2/8/2003,619132, ,177868,-7131.84,-789869
2/9/2003,635595, ,179411,-6510.03,-808497
2/10/2003,583526, ,172580,-7605.33,-748500
2/11/2003,459015, ,160142,-9034.25,-610122
2/12/2003,787610, ,139972,-6834.47,-920748
2/13/2003,874582, ,124002,-6712.42,-991872
2/14/2003,530220, ,111498,-5468.04,-636250
2/15/2003,450828, ,101604,-5934.79,-546497
2/16/2003,364086, ,93769.3,-4980.77,-452874
2/17/2003,516559, ,87401.3,-4966.23,-598994
2/18/2003,534598, ,82016.8,-6492.93,-610122
2/19/2003,32521, ,77329.4,-8727.86,-101123
2/20/2003, ,-88574,98658.1,-10084.1,0
2/21/2003, ,-428450,438748,-10297.8,0
2/22/2003, ,-1928970,1864956,64010.7,0
2/23/2003, ,-956072,729168,226904,0
2/24/2003, ,-447577,388954,58623.4,0
2/25/2003, ,-402595,413302,-10707.4,0
2/26/2003, ,-407796,414265,-6468.62,0
2/27/2003,29225.4, ,396259,-6237.05,-419247
2/28/2003, ,-27517.8,364775,-7762.13,-329495
3/1/2003, ,-362487,371798,-9310.84,0
3/2/2003, ,-1132940,1229478,-10415.3,-86123.5
3/3/2003,428791, ,404599,120984,-954374
3/4/2003, ,-191298,326253,-7704.69,-127250
3/5/2003, ,-530012,1151313,-7550.43,-613751
3/6/2003, ,-34477.3,517829,104272,-587624
3/7/2003, ,-373443,383652,-10209.3,0
3/8/2003, ,-577595,585468,-7873.13,0
3/9/2003, ,-473440,400357,73082.6,0
3/10/2003, ,-269640,282275,-12635.5,0
3/11/2003, ,-235452,242645,-7193.38,0
3/12/2003, ,-1159260,1168175,-8917,0
3/13/2003, ,-620535,493737,126798,0
3/14/2003, ,-319594,333276,-13681.5,0
3/15/2003, ,-1469370,1479017,-9650.52,0
3/16/2003, ,-2863040,2727417,135628,0
3/17/2003, ,-4575020,4386450,188574,0
3/18/2003, ,-5710230,5813140,246798,-349708
3/19/2003, ,-111570,6429250,286326,-6604010
3/20/2003, ,-111570,8574960,302600,-8765990
3/21/2003, ,-111570,7251130,368112,-7507670
3/22/2003, ,-111570,5884410,302097,-6074940
3/23/2003, ,-111570,5168353,62446.4,-5119230
3/24/2003, ,-111570,4101988,-25295.9,-3965120
3/25/2003, ,-111570,1773508,-21573.1,-1640360
3/26/2003, ,-111570,1227901,-30478.3,-1085850
3/27/2003, ,-111570,681553,-812.572,-569170
3/28/2003, ,-111570,459688,-26425.5,-321692
3/29/2003, ,-111570,1567236,-30074.9,-1425590
3/30/2003, ,-111570,1063058,204403,-1155890
3/31/2003, ,-111570,733411,2232.13,-624073
4/1/2003, ,-111570,603758,-13387.9,-478800
4/2/2003, ,-111570,942477,-4324.02,-826583
4/3/2003, ,-111570,765893,69535.1,-723858
4/4/2003, ,-111570,733300,-26043.9,-595686
4/5/2003, ,-111570,796817,-6201.15,-679046
4/6/2003, ,-111570,570236,32506.1,-491172
4/7/2003, ,-111570,477244,-14764.5,-350909
4/8/2003, ,-111570,450696,-12946.4,-326179
4/9/2003, ,-111570,560873,12041.2,-461344
4/10/2003, ,-111570,657137,38224.7,-583791
4/11/2003, ,-111570,1049281,14352.2,-952063
4/12/2003, ,-111570,804948,76670.2,-770048
4/13/2003, ,-111570,589540,-16871,-461099
4/14/2003,515939, ,501182,-28877.8,-988243
4/15/2003,678735, ,423455,-31694.1,-1070500
4/16/2003,985602, ,357158,-47050.9,-1295710
4/17/2003,749880, ,305258,-44396.2,-1010740
4/18/2003,813096, ,264924,-26151.7,-1051870
4/19/2003,844823, ,230477,-27302.7,-1048000
4/20/2003,886416, ,203036,-37583.7,-1051870
4/21/2003,945404, ,210084,-39994.7,-1115490
4/22/2003,443212, ,251115,-28079.3,-666248
4/23/2003,556221, ,192447,3703.55,-752371
4/24/2003,580828, ,183003,-26458.4,-737372
4/25/2003,704709, ,174406,-21991.6,-857123
4/26/2003,441548, ,531096,-29397.7,-943246
4/27/2003,30852.8, ,279772,97252.8,-407877
4/28/2003,604424, ,277611,-39911.9,-842124
4/29/2003,407181, ,263042,-45101.3,-625121
4/30/2003,519878, ,238043,-43047.9,-714874
5/1/2003,317491, ,423694,-37439.8,-703745
5/2/2003,105086, ,707093,14945,-827124
5/3/2003, ,-44372.1,470692,49053.1,-475373
5/4/2003,289165, ,369345,-37260,-621251
5/5/2003,418311, ,335078,-38515.2,-714874
5/6/2003, ,-221146,268100,-28326.9,-18627.8
5/7/2003, ,-241285,284031,-42746.2,0
5/8/2003, ,-276321,302119,-25797.6,0
5/9/2003, ,-211765,228066,-16300.4,0
5/10/2003, ,-139194,186124,-46929.5,0
5/11/2003, ,-449084,498389,-49304.5,0
5/12/2003, ,-388542,325126,63415.5,0
5/13/2003, ,-244966,275135,-30168.3,0
5/14/2003, ,-204843,242646,-37803.6,0
5/15/2003, ,-173386,214471,-41085.1,0
5/16/2003, ,-142987,188366,-45378.8,0
5/17/2003, ,-129878,169517,-39639,0
5/18/2003, ,-115700,154442,-38742.5,0
5/19/2003, ,-91135.2,133872,-42736.4,0
5/20/2003, ,-84548,134056,-49508,0
5/21/2003, ,-172196,210272,-38076,0
5/22/2003, ,-168006,143349,24656.7,0
5/23/2003, ,-135833,173672,-37838.7,0
5/24/2003, ,-324657,346127,-21470.1,0
5/25/2003, ,-243279,203433,39846,0
5/26/2003, ,-915948,1256652,-45077.3,-295626
5/27/2003, ,-366856,720624,188859,-542627
5/28/2003, ,-69702.7,842534,-27959.6,-744872
5/29/2003, ,-403913,631025,-10110.2,-217002
5/30/2003, ,-442749,484376,-41627,0
5/31/2003, ,-2012260,2062860,-50601.4,0
6/1/2003, ,-3676360,3448026,228337,0
6/2/2003, ,-1870640,1711547,159089,0
6/3/2003, ,-1144400,1189283,-44881.5,0
6/4/2003, ,-897465,897323,142.281,0
6/5/2003, ,-305513,589915,-11061.1,-273341
6/6/2003,221311, ,410729,-46704.3,-585336
6/7/2003,221311, ,1091374,-54458.4,-1258230
6/8/2003,343217, ,627450,127504,-1098170
6/9/2003,99405.7, ,432673,-54007.4,-478071
6/10/2003,553049, ,300378,-44929.6,-808497
6/11/2003,353170, ,425225,-56022,-722373
6/12/2003, ,-242284,1799917,3339.15,-1560970
6/13/2003,221311, ,1646893,209586,-2077790
6/14/2003,221311, ,1088711,30155.6,-1340180
6/15/2003,221311, ,683149,-47461.5,-856999
6/16/2003,354992, ,484422,-56411.8,-783002
6/17/2003,434103, ,365421,-51023.4,-748500
6/18/2003,332053, ,460853,-51662.7,-741243
6/19/2003,434775, ,324361,8234.81,-767370
6/20/2003, ,-449365,1323922,-59512.5,-815045
6/21/2003,221311, ,2590481,210048,-3021840
6/22/2003,221311, ,2880133,195655,-3297100
6/23/2003,221311, ,1373717,104957,-1699990
6/24/2003,221311, ,893195,-65091.6,-1049410
6/25/2003,221311, ,599027,-69823.9,-750515
6/26/2003,486124, ,413962,-69090.4,-830995
6/27/2003,137844, ,311017,-74610.6,-374250
6/28/2003,216109, ,234165,-64653.6,-385620
6/29/2003,252072, ,192833,-59284.7,-385620
6/30/2003,244290, ,159823,-55990.3,-348123
7/1/2003,324157, ,145665,-61944.9,-407877
7/2/2003,363651, ,137474,-59378.8,-441746
7/3/2003,343903, ,131814,-63969.2,-411748
7/4/2003,273204, ,143879,-65330.8,-351752
7/5/2003,131761, ,133823,-41082.2,-224502
7/6/2003,479092, ,122265,-65988.1,-535369
7/7/2003, ,-256966,708432,-69716.7,-381750
7/8/2003,4729.08, ,196920,183971,-385620
7/9/2003,98390.1, ,680544,-70944.1,-707990
7/10/2003,221311, ,560987,38135.4,-820434
7/11/2003,221311, ,906904,-7203.37,-1121010
7/12/2003,221311, ,628621,-10271.6,-839661
7/13/2003,221311, ,487454,-54028.8,-654736
7/14/2003,221311, ,377324,-56519.4,-542116
7/15/2003,221311, ,257254,-60175.1,-418390
7/16/2003,221311, ,402095,-60758.5,-562648
7/17/2003,221311, ,253430,16215.2,-490956
7/18/2003,234888, ,307590,-59605.3,-482872
7/19/2003,207735, ,197844,-20768.6,-384811
7/20/2003,221311, ,165225,-57197.8,-329338
7/21/2003,221311, ,1020411,-52992.7,-1188730
7/22/2003,221311, ,1339531,179949,-1740790
7/23/2003,221311, ,988563,93741.9,-1303620
7/24/2003,221311, ,1145823,-4447.22,-1362690
7/25/2003,221311, ,705147,12691.2,-939150
7/26/2003,221311, ,495225,-59901.4,-656635
7/27/2003,221311, ,431159,-62800.1,-589670
7/28/2003,221311, ,307602,-39048.5,-489865
7/29/2003,221311, ,218411,-58140.3,-381583
7/30/2003,221311, ,163961,-58876.8,-326396
7/31/2003,313085, ,148028,-60493.2,-400620
8/1/2003,129538, ,2380616,-50389.4,-2459760
8/2/2003,221311, ,1004499,364437,-1590250
8/3/2003,221311, ,5709140,-50874.2,-5879580
8/4/2003,221311, ,3779397,281312,-4282020
8/5/2003,221311, ,3148226,115154,-3484690
8/6/2003,221311, ,1765635,68039.8,-2054990
8/7/2003,259662, ,1072223,-36260,-1295620
8/8/2003,520145, ,823227,-47735,-1295640
8/9/2003, ,-115872,1923311,-29006.2,-1778430
8/10/2003,221311, ,1941418,141909,-2304640
8/11/2003,221311, ,2615333,50363.7,-2887010
8/12/2003,221311, ,1772110,172508,-2165930
8/13/2003,390493, ,936403,-8174.73,-1318720
8/14/2003,351374, ,609715,-62839.9,-898249
8/15/2003,916656, ,444420,-65432.7,-1295640
8/16/2003,919171, ,440940,-64397.6,-1295710
8/17/2003,760217, ,558141,-38117.4,-1280240
8/18/2003,807038, ,442162,12171.3,-1261370
8/19/2003,448466, ,308172,-34264.7,-722373
8/20/2003,540698, ,243177,-57630.9,-726244
8/21/2003,621769, ,209063,-59833.1,-770999
8/22/2003,614890, ,207681,-62700.6,-759871
8/23/2003,518717, ,182068,-49535.7,-651249
8/24/2003, ,-120931,170235,-49303.8,0
8/25/2003,412438, ,159332,-43900,-527869
8/26/2003,708176, ,156687,-52738.2,-812125
8/27/2003,751389, ,146109,-51503.7,-845994
8/28/2003,761125, ,140378,-55508.8,-845994
8/29/2003,671892, ,256378,-48648.9,-879621
8/30/2003,573825, ,155634,45411.7,-774870
8/31/2003,685774, ,148813,-44717.9,-789869
9/1/2003, ,-1331090,2141397,-42934.9,-767370
9/2/2003, ,-5354540,9000510,359352,-4005320
9/3/2003,221311, ,6252260,547149,-7020720
9/4/2003,221311, ,3561454,204275,-3987040
9/5/2003,221311, ,1943151,-11769.5,-2152690
9/6/2003,221311, ,1134609,-44650.8,-1311270
9/7/2003,582231, ,755838,-42221.9,-1295850
9/8/2003,793870, ,547236,-45427.8,-1295680
9/9/2003,961413, ,379450,-45221.5,-1295640
9/10/2003,1064274, ,271978,-40560.2,-1295690
9/11/2003,1118096, ,219460,-41707.9,-1295850
9/12/2003,1148937, ,193950,-47094.2,-1295790
9/13/2003,1115251, ,222007,-41465.6,-1295790
9/14/2003,1025287, ,279113,-8757.44,-1295640
9/15/2003, ,-417865,909604,-12737.6,-479002
9/16/2003, ,-564959,421658,143301,0
9/17/2003, ,-375194,417091,-41897.1,0
9/18/2003, ,-380025,420592,-40567,0
9/19/2003, ,-818001,1922995,-38126.5,-1066870
9/20/2003, ,-30001.8,1128935,196914,-1295850
9/21/2003,487723, ,849221,-41265.7,-1295680
9/22/2003,512870, ,821334,-38495.8,-1295710
9/23/2003, ,-2461610,5797040,7308.44,-3342740
9/24/2003,221311, ,2374107,498106,-3093520
9/25/2003,221311, ,1530238,-36182.5,-1715370
9/26/2003,221311, ,1017560,-20097.6,-1218770
9/27/2003,221311, ,3032460,-31405.1,-3222370
9/28/2003,221311, ,4389750,176892,-4787950
9/29/2003,221311, ,2247181,198609,-2667100
9/30/2003,221311, ,1323657,-18532,-1526440
10/1/2003,250737, ,840027,-27767.9,-1063000
10/2/2003,300133, ,656583,-9841,-946875
10/3/2003,223678, ,514193,-7998.66,-729873
10/4/2003, ,-765853,1380274,-22926.4,-591494
10/5/2003,292170, ,843110,160345,-1295620
10/6/2003,574152, ,744678,-23192.6,-1295640
10/7/2003,386709, ,549565,10601.3,-946875
10/8/2003,431754, ,472421,-24553.4,-879621
10/9/2003,918074, ,405786,-28012.9,-1295850
10/10/2003,977057, ,355207,-36416,-1295850
10/11/2003,1012740, ,317948,-35009.5,-1295680
10/12/2003,1056101, ,272606,-32998.2,-1295710
10/13/2003,1083709, ,244082,-32082.4,-1295710
10/14/2003, ,-324763,1668775,-28947.4,-1315060
10/15/2003, ,-571129,1536652,330186,-1295710
10/16/2003,254912, ,985636,55161.1,-1295710
10/17/2003,418651, ,900414,-23272.2,-1295790
10/18/2003,538056, ,779281,-21543.7,-1295790
10/19/2003,327910, ,988321,-20588.4,-1295640
10/20/2003,416610, ,832171,46862.2,-1295640
10/21/2003,558798, ,749509,-12664.4,-1295640
10/22/2003,763803, ,549237,-17396.9,-1295640
10/23/2003,897046, ,411381,-12784.3,-1295640
10/24/2003,966998, ,338263,-9566.56,-1295690
10/25/2003,1006255, ,299977,-10433.8,-1295800
10/26/2003,569696, ,736422,-10301.6,-1295820
10/27/2003, ,-7976230,8303780,106699,-434246
10/28/2003, ,-4427480,3753946,673534,0
10/29/2003, ,-3062940,8089860,48817,-5075730
10/30/2003, ,-111570,3208722,415215,-3512370
10/31/2003, ,-111570,1850829,-19812.2,-1719450
11/1/2003, ,-111570,1194825,-24286.3,-1058970
11/2/2003, ,-111570,956014,-28478.1,-815966
11/3/2003, ,-111570,697331,-2145.5,-583615
11/4/2003, ,-111570,496860,-28827.9,-356462
11/5/2003, ,-111570,800995,-16006.9,-673418
11/6/2003, ,-111570,538567,101619,-528616
11/7/2003, ,-111570,417782,-5623.63,-300588
11/8/2003,939872, ,373043,-17157.6,-1295760
11/9/2003,959076, ,348046,-11370.8,-1295750
11/10/2003,977982, ,328457,-10689.1,-1295750
11/11/2003,906559, ,401633,-12563.7,-1295630
11/12/2003,893412, ,377305,24920.4,-1295640
11/13/2003,760774, ,535213,-277.848,-1295710
11/14/2003,854645, ,394532,46531.5,-1295710
11/15/2003,936037, ,369946,-10190.2,-1295790
11/16/2003,953731, ,350486,-8588.26,-1295630
11/17/2003,904412, ,400574,-9227.68,-1295760
11/18/2003,760835, ,400661,6251.78,-1167750
11/19/2003, ,-4979070,5472110,-10168.5,-482872
11/20/2003, ,-2135210,2868077,562994,-1295860
11/21/2003, ,-518511,1767344,38665.1,-1287500
